Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
38,No,Travel_Rarely,Sales,2,2,Marketing,1,1125,Male,3,Sales Executive,Single,7351,7,Y,No,16,80,0,10,2,1,0,0
43,No,Travel_Frequently,Research & Development,27,3,Life Sciences,1,1126,Female,3,Manufacturing Director,Married,10820,8,Y,No,11,80,1,18,1,8,0,1
39,Yes,Travel_Frequently,Research & Development,2,3,Life Sciences,1,1127,Male,4,Healthcare Representative,Divorced,12169,7,Y,No,11,80,3,21,4,18,11,5
40,No,Travel_Rarely,Research & Development,14,3,Medical,1,1128,Male,5,Research Director,Single,19626,1,Y,No,14,80,0,21,2,20,4,9
21,No,Travel_Rarely,Research & Development,1,1,Technical Degree,1,1131,Female,1,Research Scientist,Single,2070,1,Y,Yes,11,80,0,2,6,2,2,2
39,No,Non-Travel,Research & Development,9,3,Life Sciences,1,1132,Male,2,Laboratory Technician,Single,6782,9,Y,No,15,80,0,9,2,5,0,3
36,No,Non-Travel,Research & Development,18,4,Life Sciences,1,1133,Male,2,Manufacturing Director,Single,7779,2,Y,No,20,80,0,18,0,11,0,9
31,No,Travel_Frequently,Sales,20,3,Life Sciences,1,1135,Male,1,Sales Representative,Married,2791,0,Y,No,12,80,1,3,4,2,2,2
28,No,Travel_Rarely,Research & Development,2,1,Life Sciences,1,1136,Male,1,Research Scientist,Married,3201,0,Y,No,17,80,0,6,2,5,0,4
35,No,Travel_Frequently,Sales,11,2,Marketing,1,1137,Male,2,Sales Executive,Divorced,4968,1,Y,No,11,80,1,5,3,5,0,2
49,No,Travel_Rarely,Sales,8,4,Technical Degree,1,1138,Male,4,Sales Executive,Married,13120,6,Y,No,17,80,1,22,3,9,2,3
34,No,Travel_Frequently,Research & Development,2,2,Life Sciences,1,1140,Male,2,Manufacturing Director,Single,4033,2,Y,No,11,80,0,5,3,3,0,2
29,No,Travel_Frequently,Research & Development,10,3,Life Sciences,1,1143,Female,1,Research Scientist,Divorced,3291,0,Y,No,14,80,2,8,2,7,1,1
42,No,Travel_Rarely,Research & Development,29,3,Medical,1,1148,Male,2,Laboratory Technician,Single,4272,4,Y,No,19,80,0,16,3,1,0,0
29,No,Travel_Rarely,Research & Development,8,1,Medical,1,1150,Male,2,Manufacturing Director,Married,5056,1,Y,Yes,15,80,1,10,2,10,1,2
38,No,Travel_Rarely,Human Resources,1,3,Human Resources,1,1152,Male,1,Human Resources,Married,2844,1,Y,No,13,80,1,7,2,7,5,0
28,No,Travel_Frequently,Research & Development,6,3,Life Sciences,1,1154,Male,1,Research Scientist,Divorced,2703,1,Y,Yes,14,80,1,3,2,3,0,2
18,Yes,Non-Travel,Research & Development,8,1,Medical,1,1156,Male,1,Laboratory Technician,Single,1904,1,Y,No,12,80,0,0,0,0,0,0
33,Yes,Travel_Rarely,Sales,9,4,Marketing,1,1157,Female,2,Sales Executive,Single,8224,0,Y,Yes,17,80,0,6,3,5,0,3
41,No,Travel_Rarely,Research & Development,12,4,Life Sciences,1,1158,Male,1,Laboratory Technician,Married,4766,3,Y,Yes,11,80,1,6,4,1,0,0
31,Yes,Travel_Frequently,Research & Development,15,3,Medical,1,1160,Male,1,Laboratory Technician,Married,2610,1,Y,No,12,80,1,2,5,2,2,2
37,No,Travel_Rarely,Research & Development,25,2,Medical,1,1161,Female,2,Healthcare Representative,Divorced,5731,7,Y,No,13,80,2,9,2,6,1,3
27,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,1162,Male,1,Research Scientist,Married,2539,1,Y,No,13,80,1,4,0,4,2,2
34,No,Travel_Rarely,Sales,9,1,Life Sciences,1,1163,Female,2,Sales Executive,Married,5714,1,Y,No,20,80,0,6,3,6,1,3
35,No,Travel_Rarely,Human Resources,8,4,Technical Degree,1,1164,Male,1,Human Resources,Single,4323,1,Y,No,17,80,0,6,2,5,1,4
29,Yes,Travel_Rarely,Sales,23,1,Life Sciences,1,1165,Female,3,Sales Executive,Married,7336,1,Y,No,13,80,1,11,3,11,3,10
40,No,Travel_Frequently,Research & Development,9,4,Medical,1,1166,Female,3,Research Director,Single,13499,9,Y,No,17,80,0,20,3,18,2,13
42,Yes,Travel_Frequently,Sales,12,3,Life Sciences,1,1167,Male,4,Sales Executive,Single,13758,0,Y,Yes,12,80,0,22,2,21,13,14
42,No,Travel_Rarely,Sales,4,4,Marketing,1,1171,Male,2,Sales Executive,Single,5155,7,Y,No,13,80,0,9,3,6,1,5
35,No,Travel_Rarely,Research & Development,1,4,Medical,1,1172,Male,1,Laboratory Technician,Married,2258,6,Y,No,12,80,1,10,2,8,1,7
24,No,Travel_Rarely,Research & Development,24,3,Medical,1,1173,Male,1,Laboratory Technician,Single,3597,8,Y,No,22,80,0,6,2,4,1,2
28,Yes,Travel_Rarely,Research & Development,12,1,Life Sciences,1,1175,Female,1,Laboratory Technician,Married,2515,1,Y,Yes,11,80,0,1,4,1,0,0
26,No,Travel_Rarely,Research & Development,3,4,Medical,1,1177,Male,1,Laboratory Technician,Married,4420,1,Y,No,22,80,1,8,2,8,0,7
30,No,Travel_Rarely,Sales,10,3,Marketing,1,1179,Male,2,Sales Executive,Married,6578,1,Y,No,18,80,1,10,3,10,1,4
40,No,Travel_Frequently,Research & Development,26,2,Medical,1,1180,Female,2,Research Scientist,Married,4422,3,Y,Yes,13,80,1,16,3,1,0,0
35,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,1182,Male,3,Manufacturing Director,Divorced,10274,2,Y,No,18,80,1,15,2,7,6,4
34,No,Travel_Frequently,Research & Development,1,3,Medical,1,1184,Male,2,Healthcare Representative,Single,5343,0,Y,No,20,80,0,14,3,13,4,9
35,No,Travel_Frequently,Research & Development,4,4,Other,1,1185,Male,1,Laboratory Technician,Married,2376,1,Y,No,13,80,1,2,2,2,2,2
43,Yes,Travel_Rarely,Sales,9,3,Marketing,1,1188,Female,2,Sales Executive,Single,5346,8,Y,No,13,80,0,7,2,4,1,3
32,No,Non-Travel,Sales,2,1,Life Sciences,1,1190,Female,1,Sales Representative,Divorced,2827,1,Y,No,12,80,3,1,3,1,0,0
56,No,Travel_Rarely,Research & Development,4,4,Technical Degree,1,1191,Female,5,Manager,Divorced,19943,4,Y,No,13,80,1,28,2,5,4,2
29,No,Travel_Rarely,Research & Development,6,1,Medical,1,1192,Female,1,Laboratory Technician,Married,3131,1,Y,No,13,80,1,10,5,10,0,8
19,No,Travel_Rarely,Research & Development,9,2,Life Sciences,1,1193,Male,1,Research Scientist,Single,2552,1,Y,No,25,80,0,1,4,1,0,0
45,No,Travel_Rarely,Research & Development,7,3,Medical,1,1195,Female,1,Research Scientist,Married,4477,4,Y,Yes,19,80,1,7,2,3,0,2
37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,1196,Female,2,Manufacturing Director,Married,6474,1,Y,No,13,80,1,14,2,14,3,11
20,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,1198,Male,1,Laboratory Technician,Single,3033,1,Y,No,12,80,0,2,2,2,1,2
44,Yes,Travel_Rarely,Research & Development,10,4,Life Sciences,1,1200,Male,1,Research Scientist,Single,2936,1,Y,Yes,11,80,0,6,4,6,0,2
53,No,Travel_Rarely,Research & Development,7,2,Medical,1,1201,Female,5,Manager,Divorced,18606,3,Y,No,18,80,1,26,6,7,4,7
29,No,Travel_Rarely,Research & Development,15,1,Life Sciences,1,1202,Female,1,Research Scientist,Married,2168,0,Y,Yes,18,80,1,6,2,5,1,3
22,Yes,Travel_Frequently,Research & Development,3,4,Life Sciences,1,1203,Male,1,Research Scientist,Married,2853,0,Y,Yes,11,80,1,1,5,0,0,0
46,No,Travel_Rarely,Sales,2,3,Marketing,1,1204,Female,4,Manager,Married,17048,8,Y,No,23,80,0,28,2,26,15,9
44,No,Non-Travel,Research & Development,17,3,Life Sciences,1,1206,Male,1,Research Scientist,Single,2290,2,Y,No,13,80,0,6,3,0,0,0
33,No,Travel_Rarely,Human Resources,2,3,Human Resources,1,1207,Male,1,Human Resources,Married,3600,1,Y,No,13,80,1,5,2,5,1,4
41,Yes,Non-Travel,Research & Development,5,2,Life Sciences,1,1210,Male,1,Research Scientist,Divorced,2107,6,Y,No,17,80,1,5,2,1,0,0
30,No,Travel_Rarely,Sales,29,4,Life Sciences,1,1211,Male,2,Sales Executive,Divorced,4115,8,Y,No,19,80,3,8,3,4,0,3
40,No,Travel_Frequently,Sales,2,4,Medical,1,1212,Male,2,Sales Executive,Married,4327,5,Y,No,12,80,3,5,2,0,0,0
50,No,Travel_Frequently,Research & Development,2,3,Medical,1,1215,Female,4,Manager,Married,17856,2,Y,No,22,80,1,32,3,2,2,2
28,No,Travel_Rarely,Research & Development,19,4,Medical,1,1216,Male,1,Laboratory Technician,Married,3196,1,Y,No,12,80,3,6,2,6,3,3
46,No,Travel_Rarely,Research & Development,15,2,Life Sciences,1,1217,Male,5,Research Director,Married,19081,5,Y,No,11,80,1,25,2,4,0,3
35,No,Travel_Rarely,Sales,17,4,Life Sciences,1,1218,Male,2,Sales Executive,Married,8966,3,Y,Yes,15,80,3,15,2,7,1,7
24,Yes,Travel_Rarely,Research & Development,17,2,Life Sciences,1,1219,Female,1,Laboratory Technician,Married,2210,1,Y,No,13,80,1,1,3,1,0,0
33,No,Travel_Frequently,Sales,25,3,Medical,1,1220,Female,2,Sales Executive,Married,4539,1,Y,No,12,80,1,10,3,10,0,1
36,No,Travel_Rarely,Research & Development,6,4,Life Sciences,1,1221,Male,1,Laboratory Technician,Divorced,2741,1,Y,No,14,80,1,7,4,7,1,7
30,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,1224,Male,2,Laboratory Technician,Divorced,3491,1,Y,No,13,80,3,10,4,10,8,9
44,No,Travel_Rarely,Research & Development,29,4,Other,1,1225,Male,2,Research Scientist,Single,4541,1,Y,No,25,80,0,20,3,20,13,17
20,No,Travel_Rarely,Sales,21,3,Marketing,1,1226,Male,1,Sales Representative,Single,2678,1,Y,No,17,80,0,2,2,2,2,2
46,No,Travel_Rarely,Research & Development,2,4,Technical Degree,1,1228,Male,2,Manufacturing Director,Divorced,7379,2,Y,No,11,80,1,12,3,6,1,4
42,No,Non-Travel,Human Resources,2,5,Medical,1,1231,Male,2,Human Resources,Married,6272,7,Y,No,16,80,1,10,3,4,0,3
60,No,Travel_Rarely,Sales,7,4,Marketing,1,1233,Male,2,Sales Executive,Divorced,5220,0,Y,Yes,18,80,1,12,3,11,1,9
32,No,Travel_Frequently,Research & Development,13,3,Other,1,1234,Female,1,Laboratory Technician,Married,2743,1,Y,No,20,80,1,2,2,2,2,2
32,No,Travel_Frequently,Research & Development,2,2,Life Sciences,1,1235,Female,2,Research Scientist,Single,4998,4,Y,Yes,14,80,0,10,2,8,0,7
36,No,Travel_Rarely,Research & Development,1,3,Technical Degree,1,1237,Female,3,Manufacturing Director,Divorced,10252,2,Y,Yes,21,80,1,17,2,7,7,7
33,No,Travel_Rarely,Research & Development,9,3,Medical,1,1238,Male,1,Research Scientist,Married,2781,0,Y,No,13,80,1,15,5,14,4,10
40,No,Travel_Rarely,Sales,10,3,Technical Degree,1,1239,Female,2,Sales Executive,Divorced,6852,7,Y,No,12,80,1,7,2,5,1,3
25,No,Travel_Rarely,Sales,10,4,Life Sciences,1,1240,Male,2,Sales Executive,Single,4950,0,Y,No,14,80,0,5,4,4,1,1
30,No,Travel_Rarely,Research & Development,1,3,Medical,1,1241,Male,1,Research Scientist,Married,3579,0,Y,Yes,21,80,1,12,2,11,5,7
42,No,Travel_Frequently,Research & Development,26,5,Medical,1,1242,Female,3,Research Director,Married,13191,3,Y,Yes,17,80,0,20,6,1,0,0
35,No,Non-Travel,Sales,8,2,Marketing,1,1243,Female,3,Sales Executive,Married,10377,4,Y,Yes,11,80,1,16,6,13,4,12
27,No,Travel_Rarely,Research & Development,14,3,Life Sciences,1,1244,Male,1,Research Scientist,Married,2235,1,Y,Yes,14,80,2,9,3,9,6,8
54,No,Travel_Frequently,Research & Development,1,4,Life Sciences,1,1245,Female,3,Manufacturing Director,Divorced,10502,7,Y,No,17,80,1,33,2,5,1,4
44,No,Travel_Rarely,Research & Development,2,1,Life Sciences,1,1246,Female,1,Research Scientist,Married,2011,1,Y,No,13,80,1,10,5,10,7,7
19,Yes,Non-Travel,Research & Development,10,3,Medical,1,1248,Female,1,Research Scientist,Single,1859,1,Y,Yes,25,80,0,1,2,1,0,0
29,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,1249,Female,1,Research Scientist,Divorced,3760,1,Y,No,15,80,3,3,5,3,1,2
54,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,1250,Male,4,Research Director,Married,17779,3,Y,No,14,80,0,36,2,10,0,9
31,No,Travel_Rarely,Research & Development,11,2,Medical,1,1251,Male,2,Healthcare Representative,Married,6833,1,Y,Yes,12,80,0,6,2,6,0,1
31,No,Travel_Rarely,Research & Development,24,3,Medical,1,1252,Female,2,Healthcare Representative,Single,6812,1,Y,No,19,80,0,10,2,10,1,8
59,No,Travel_Rarely,Sales,3,3,Life Sciences,1,1254,Female,2,Sales Executive,Single,5171,5,Y,No,17,80,0,13,2,6,0,5
43,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,1255,Male,5,Research Director,Married,19740,3,Y,No,14,80,1,25,2,8,0,7
49,No,Travel_Rarely,Research & Development,4,2,Medical,1,1256,Male,5,Manager,Married,18711,2,Y,No,13,80,1,23,2,1,0,0
36,No,Travel_Frequently,Research & Development,3,3,Technical Degree,1,1257,Male,1,Research Scientist,Married,3692,1,Y,No,12,80,0,12,2,11,0,7
48,No,Travel_Rarely,Research & Development,2,2,Technical Degree,1,1258,Male,1,Laboratory Technician,Single,2559,5,Y,No,11,80,0,7,4,1,0,0
27,No,Travel_Rarely,Research & Development,4,2,Life Sciences,1,1259,Male,1,Research Scientist,Divorced,2517,1,Y,No,11,80,3,5,2,5,0,3
29,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,1260,Male,2,Healthcare Representative,Divorced,6623,1,Y,Yes,11,80,2,6,2,6,1,0
48,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,1263,Male,5,Research Director,Single,18265,6,Y,No,12,80,0,25,3,1,0,0
29,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,1264,Female,4,Research Director,Divorced,16124,3,Y,No,14,80,2,9,2,7,1,7
34,No,Travel_Rarely,Research & Development,20,3,Technical Degree,1,1265,Female,1,Research Scientist,Married,2585,0,Y,No,17,80,0,2,5,1,0,0
44,No,Travel_Rarely,Sales,5,3,Marketing,1,1267,Male,5,Manager,Married,18213,7,Y,No,11,80,1,26,5,22,3,10
33,No,Travel_Rarely,Sales,10,5,Marketing,1,1268,Male,3,Sales Executive,Divorced,8380,0,Y,Yes,14,80,2,10,3,9,0,8
19,No,Travel_Rarely,Research & Development,25,3,Life Sciences,1,1269,Female,1,Research Scientist,Single,2994,1,Y,Yes,12,80,0,1,2,1,0,1
23,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,1270,Male,1,Research Scientist,Married,1223,1,Y,No,22,80,1,1,2,1,0,1
25,Yes,Travel_Frequently,Sales,24,1,Life Sciences,1,1273,Male,1,Sales Representative,Single,1118,1,Y,Yes,14,80,0,1,4,1,1,0
26,No,Travel_Rarely,Research & Development,4,2,Life Sciences,1,1275,Male,1,Research Scientist,Single,2875,1,Y,Yes,20,80,0,8,2,8,2,2
45,Yes,Travel_Rarely,Sales,2,3,Marketing,1,1277,Female,5,Manager,Single,18824,2,Y,Yes,16,80,0,26,2,24,1,11
55,No,Non-Travel,Research & Development,8,1,Medical,1,1278,Male,4,Healthcare Representative,Divorced,13577,1,Y,Yes,15,80,1,34,3,33,15,0
21,Yes,Travel_Frequently,Research & Development,10,2,Life Sciences,1,1279,Female,1,Laboratory Technician,Single,2625,1,Y,No,20,80,0,2,2,2,2,2
46,No,Travel_Rarely,Sales,4,2,Marketing,1,1280,Female,5,Manager,Married,18789,2,Y,No,14,80,1,26,2,11,0,8
34,No,Travel_Rarely,Sales,2,3,Marketing,1,1281,Female,2,Sales Executive,Single,4538,0,Y,Yes,12,80,0,4,3,3,0,2
51,No,Travel_Frequently,Sales,9,3,Life Sciences,1,1282,Male,5,Manager,Divorced,19847,4,Y,Yes,24,80,1,31,5,29,11,10
59,No,Travel_Rarely,Research & Development,18,4,Medical,1,1283,Male,3,Manufacturing Director,Single,10512,6,Y,No,12,80,0,25,6,9,5,4
34,No,Travel_Frequently,Research & Development,19,3,Medical,1,1285,Female,2,Laboratory Technician,Divorced,4444,4,Y,No,13,80,2,15,2,11,5,10
28,No,Travel_Frequently,Research & Development,1,4,Medical,1,1286,Male,1,Laboratory Technician,Single,2154,0,Y,Yes,11,80,0,5,2,4,0,2
44,No,Travel_Rarely,Research & Development,4,2,Life Sciences,1,1288,Male,5,Manager,Divorced,19190,1,Y,No,14,80,2,26,4,25,14,13
34,No,Travel_Frequently,Human Resources,11,3,Life Sciences,1,1289,Male,2,Human Resources,Married,4490,4,Y,No,11,80,2,14,5,10,1,8
35,No,Travel_Rarely,Research & Development,6,1,Life Sciences,1,1291,Male,1,Research Scientist,Married,3506,0,Y,Yes,14,80,0,4,3,3,2,2
42,No,Travel_Rarely,Research & Development,7,4,Medical,1,1292,Female,2,Research Scientist,Married,2372,6,Y,Yes,16,80,0,18,2,1,0,0
43,No,Travel_Rarely,Sales,4,4,Marketing,1,1293,Female,3,Sales Executive,Single,10231,3,Y,No,14,80,0,23,3,21,15,17
36,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,1294,Female,2,Manufacturing Director,Single,5410,9,Y,Yes,11,80,0,18,2,16,5,12
44,Yes,Travel_Rarely,Research & Development,15,3,Medical,1,1295,Female,3,Healthcare Representative,Married,7978,1,Y,No,11,80,1,10,2,10,0,5
28,No,Travel_Frequently,Research & Development,2,3,Life Sciences,1,1296,Male,1,Laboratory Technician,Married,3867,1,Y,Yes,12,80,1,2,2,2,2,2
51,No,Travel_Frequently,Research & Development,6,2,Medical,1,1297,Female,1,Laboratory Technician,Single,2838,0,Y,No,14,80,0,8,6,7,7,7
30,No,Non-Travel,Research & Development,9,2,Medical,1,1298,Female,2,Manufacturing Director,Single,4695,7,Y,Yes,18,80,0,10,3,8,1,7
29,Yes,Travel_Rarely,Research & Development,7,3,Technical Degree,1,1299,Female,1,Laboratory Technician,Divorced,3339,3,Y,Yes,13,80,2,10,2,7,7,7
28,No,Travel_Rarely,Research & Development,1,3,Technical Degree,1,1301,Male,1,Research Scientist,Single,2080,2,Y,No,11,80,0,5,2,3,1,2
25,No,Travel_Rarely,Research & Development,1,3,Medical,1,1303,Female,1,Research Scientist,Single,2096,1,Y,No,18,80,0,2,3,2,2,1
32,No,Travel_Rarely,Sales,8,3,Medical,1,1304,Male,2,Sales Executive,Married,6209,1,Y,No,15,80,2,10,4,10,0,8
45,No,Travel_Frequently,Research & Development,25,3,Medical,1,1306,Female,5,Manager,Single,18061,3,Y,No,22,80,0,22,4,0,0,0
39,No,Travel_Rarely,Research & Development,13,4,Medical,1,1307,Female,4,Manager,Divorced,17123,6,Y,Yes,13,80,2,21,4,19,15,2
58,No,Travel_Rarely,Research & Development,23,4,Life Sciences,1,1308,Male,1,Research Scientist,Divorced,2372,1,Y,No,12,80,2,2,3,2,2,2
32,Yes,Travel_Rarely,Research & Development,7,2,Life Sciences,1,1309,Male,2,Laboratory Technician,Married,4883,1,Y,No,18,80,1,10,3,10,1,1
39,Yes,Travel_Rarely,Research & Development,23,3,Medical,1,1310,Male,1,Research Scientist,Single,3904,0,Y,No,13,80,0,6,2,5,0,3
30,No,Travel_Rarely,Research & Development,6,3,Technical Degree,1,1311,Female,2,Laboratory Technician,Married,4627,0,Y,No,12,80,1,10,6,9,6,7
36,No,Travel_Rarely,Research & Development,10,4,Technical Degree,1,1312,Female,3,Healthcare Representative,Married,7094,3,Y,No,12,80,0,10,0,7,1,7
46,No,Travel_Rarely,Human Resources,1,2,Life Sciences,1,1314,Female,1,Human Resources,Single,3423,6,Y,No,12,80,0,10,3,7,5,7
28,No,Non-Travel,Research & Development,1,3,Life Sciences,1,1315,Female,2,Laboratory Technician,Married,6674,0,Y,No,11,80,3,10,6,9,7,5
50,No,Travel_Rarely,Research & Development,28,3,Life Sciences,1,1317,Female,4,Research Director,Married,16880,4,Y,Yes,11,80,0,25,2,3,1,2
40,Yes,Travel_Rarely,Sales,25,4,Marketing,1,1318,Male,3,Sales Executive,Single,9094,2,Y,Yes,12,80,0,9,2,5,1,0
52,Yes,Travel_Rarely,Sales,5,3,Life Sciences,1,1319,Male,3,Sales Executive,Single,8446,9,Y,Yes,19,80,0,10,2,8,7,7
30,No,Travel_Rarely,Research & Development,17,4,Medical,1,1321,Female,3,Manager,Married,11916,1,Y,Yes,23,80,2,9,2,9,0,8
39,No,Travel_Rarely,Research & Development,18,2,Life Sciences,1,1322,Male,2,Manufacturing Director,Single,4534,0,Y,No,11,80,0,9,6,8,1,7
31,No,Non-Travel,Sales,2,4,Life Sciences,1,1324,Female,3,Sales Executive,Divorced,9852,1,Y,Yes,19,80,1,10,5,10,9,6
41,No,Non-Travel,Sales,10,2,Medical,1,1329,Male,2,Sales Executive,Single,6151,1,Y,No,13,80,0,19,4,19,11,9
31,Yes,Travel_Frequently,Sales,1,3,Life Sciences,1,1331,Female,1,Sales Representative,Single,2302,1,Y,Yes,11,80,0,3,2,3,2,2
44,Yes,Travel_Rarely,Research & Development,3,3,Life Sciences,1,1333,Male,1,Laboratory Technician,Married,2362,4,Y,No,12,80,0,10,4,3,1,2
42,No,Non-Travel,Research & Development,2,1,Life Sciences,1,1334,Male,4,Manager,Married,17861,0,Y,Yes,13,80,0,21,3,20,2,10
55,No,Travel_Rarely,Research & Development,2,2,Medical,1,1336,Female,5,Manager,Married,19187,4,Y,No,14,80,1,23,5,19,9,11
56,No,Travel_Rarely,Human Resources,8,4,Life Sciences,1,1338,Male,5,Manager,Single,19717,6,Y,No,14,80,0,36,4,7,7,7
40,No,Non-Travel,Research & Development,16,2,Life Sciences,1,1340,Male,1,Research Scientist,Divorced,3544,9,Y,No,16,80,1,6,0,4,0,0
34,No,Travel_Rarely,Research & Development,9,3,Life Sciences,1,1344,Male,3,Healthcare Representative,Divorced,8500,0,Y,No,11,80,1,10,0,9,1,6
40,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,1346,Male,2,Research Scientist,Single,4661,1,Y,No,13,80,0,9,4,9,8,8
41,No,Travel_Frequently,Sales,1,3,Marketing,1,1349,Female,2,Sales Executive,Divorced,4103,0,Y,No,17,80,1,10,2,9,1,7
35,No,Travel_Frequently,Research & Development,4,4,Life Sciences,1,1350,Male,2,Research Scientist,Single,4249,1,Y,Yes,11,80,0,9,3,9,1,1
51,No,Travel_Rarely,Human Resources,5,3,Life Sciences,1,1352,Male,4,Manager,Divorced,14026,1,Y,Yes,11,80,1,33,2,33,0,10
38,No,Travel_Rarely,Sales,2,2,Life Sciences,1,1355,Female,2,Sales Executive,Divorced,6893,3,Y,No,15,80,1,11,3,7,1,7
34,No,Travel_Rarely,Sales,15,2,Medical,1,1356,Female,2,Sales Executive,Single,6125,1,Y,No,12,80,0,10,6,10,9,6
25,No,Travel_Rarely,Research & Development,19,1,Medical,1,1358,Male,1,Laboratory Technician,Married,3669,3,Y,No,11,80,3,7,6,3,1,2
58,Yes,Travel_Rarely,Research & Development,7,4,Medical,1,1360,Female,3,Manufacturing Director,Married,10008,7,Y,Yes,14,80,0,31,0,10,5,9
40,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,1361,Male,1,Laboratory Technician,Married,2387,3,Y,No,22,80,1,7,3,4,0,3
36,No,Travel_Frequently,Sales,7,3,Marketing,1,1362,Female,2,Sales Executive,Married,4639,2,Y,No,16,80,1,17,2,15,6,13
48,No,Travel_Rarely,Research & Development,4,3,Life Sciences,1,1363,Male,3,Manufacturing Director,Single,7898,1,Y,No,11,80,0,11,2,10,0,8
27,No,Travel_Rarely,Sales,11,3,Medical,1,1364,Female,1,Sales Representative,Married,2534,8,Y,No,14,80,1,5,4,1,0,0
51,No,Travel_Rarely,Research & Development,11,2,Technical Degree,1,1367,Female,4,Manufacturing Director,Single,13142,3,Y,No,16,80,0,29,1,5,0,3
18,No,Non-Travel,Research & Development,1,3,Life Sciences,1,1368,Female,1,Laboratory Technician,Single,1611,1,Y,No,15,80,0,0,5,0,0,0
35,No,Travel_Rarely,Research & Development,1,3,Medical,1,1369,Female,2,Laboratory Technician,Married,5363,0,Y,No,12,80,1,10,0,9,0,0
27,No,Travel_Frequently,Sales,2,1,Life Sciences,1,1371,Male,2,Sales Executive,Single,5071,3,Y,No,20,80,0,8,3,6,0,0
55,Yes,Travel_Rarely,Sales,13,4,Marketing,1,1372,Male,4,Sales Executive,Single,13695,6,Y,Yes,17,80,0,24,2,19,3,8
56,No,Travel_Rarely,Research & Development,23,3,Life Sciences,1,1373,Male,4,Manufacturing Director,Married,13402,4,Y,Yes,12,80,1,33,0,19,15,9
34,No,Non-Travel,Research & Development,26,1,Technical Degree,1,1374,Female,1,Research Scientist,Divorced,2029,1,Y,No,20,80,3,5,2,5,0,0
40,No,Travel_Rarely,Research & Development,2,1,Medical,1,1375,Female,2,Healthcare Representative,Divorced,6377,5,Y,No,20,80,3,15,0,12,11,8
34,No,Travel_Rarely,Research & Development,29,3,Medical,1,1377,Male,2,Laboratory Technician,Married,5429,4,Y,No,13,80,2,10,1,8,7,7
31,Yes,Travel_Frequently,Sales,2,3,Life Sciences,1,1379,Female,1,Sales Representative,Single,2785,7,Y,No,14,80,0,3,3,1,0,0
35,Yes,Travel_Frequently,Sales,18,4,Marketing,1,1380,Female,2,Sales Executive,Married,4614,0,Y,Yes,18,80,1,5,0,4,3,2
38,No,Travel_Frequently,Research & Development,7,3,Life Sciences,1,1382,Male,1,Research Scientist,Divorced,2610,1,Y,No,11,80,3,4,2,4,0,3
34,No,Travel_Rarely,Research & Development,2,4,Technical Degree,1,1383,Female,2,Healthcare Representative,Single,6687,1,Y,No,11,80,0,14,2,14,4,11
28,No,Travel_Rarely,Sales,26,3,Life Sciences,1,1387,Male,2,Sales Executive,Married,4724,1,Y,No,11,80,1,5,0,5,0,4
31,Yes,Travel_Rarely,Research & Development,22,4,Medical,1,1389,Male,2,Manufacturing Director,Married,6179,1,Y,Yes,15,80,2,10,3,10,6,7
39,No,Travel_Rarely,Sales,21,4,Life Sciences,1,1390,Male,2,Sales Executive,Married,6120,3,Y,Yes,12,80,2,8,2,5,1,4
51,No,Travel_Frequently,Sales,2,3,Marketing,1,1391,Male,3,Sales Executive,Married,10596,2,Y,No,11,80,0,14,5,4,3,2
41,No,Travel_Frequently,Research & Development,22,3,Life Sciences,1,1392,Female,2,Research Scientist,Divorced,5467,3,Y,Yes,14,80,2,12,4,6,3,3
37,No,Travel_Rarely,Research & Development,4,1,Life Sciences,1,1394,Male,1,Research Scientist,Married,2996,7,Y,Yes,15,80,0,8,2,6,1,3
33,No,Travel_Frequently,Sales,5,1,Life Sciences,1,1395,Male,2,Sales Executive,Married,9998,6,Y,No,13,80,0,8,2,5,1,2
32,No,Travel_Rarely,Sales,2,1,Marketing,1,1396,Male,2,Sales Executive,Married,4078,0,Y,Yes,13,80,3,4,3,3,1,2
39,No,Non-Travel,Research & Development,25,2,Life Sciences,1,1397,Male,3,Healthcare Representative,Married,10920,3,Y,No,21,80,1,13,2,6,0,5
